No errors
No warnings
183 ms
data source=metars
4538 results
raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
KADW 180758Z 27005KT 10SM BKN048 02/M06 A3008 RMK AO2A SLP191 T00221056,KADW,2014-12-18T07:58:00Z,38.82,-76.87,2.2,-5.6,270,5,,10.0,30.079725,1019.1,,,TRUE,,,,,,,BKN,4800,,,,,,,VFR,,,,,,,,,,,,METAR,86.0
ROTM 180758Z 03012KT 9999 SCT040 BKN070 15/07 A3033 RMK SLP258 T01500072,ROTM,2014-12-18T07:58:00Z,26.27,127.75,15.0,7.2,30,12,,6.21,30.33071,1025.8,,,,,,,,,,SCT,4000,BKN,7000,,,,,VFR,,,,,,,,,,,,METAR,75.0
KFTG 180758Z AUTO 00000KT 10SM SCT046 OVC050 00/M01 A2997 RMK AO2,KFTG,2014-12-18T07:58:00Z,39.78,-104.55,0.0,-1.0,0,0,,10.0,29.970472,,,TRUE,TRUE,,,,,,,SCT,4600,OVC,5000,,,,,VFR,,,,,,,,,,,,METAR,1675.0
K5SM 180758Z AUTO 00000KT 7SM -SN BKN002 OVC007 A3002 RMK AO2,K5SM,2014-12-18T07:58:00Z,39.43,-107.38,,,0,0,,7.0,30.02067,,,TRUE,TRUE,,,,,,-SN,BKN,200,OVC,700,,,,,LIFR,,,,,,,,,,,,METAR,3232.0
KMYP 180757Z AUTO OVC002 M09/M11 A3007 RMK AO2 PWINO,KMYP,2014-12-18T07:57:00Z,38.48,-106.32,-9.0,-11.0,,,,,30.070866,,,TRUE,TRUE,,,,,TRUE,,OVC,200,,,,,,,,,,,,,,,,,,,METAR,3667.0
DIAP 180757Z VRB02KT 6000 BKN011 27/26 Q1011 NOSIG,DIAP,2014-12-18T07:57:00Z,5.25,-3.92,27.0,26.0,0,2,,3.73,29.852362,,,,,,TRUE,,,,,BKN,1100,,,,,,,MVFR,,,,,,,,,,,,METAR,8.0
CZVL 180757Z AUTO 19003KT 160V240 1SM R26/P6000FT/D BR OVC002 M07/M08 A2983 RMK SLP141,CZVL,2014-12-18T07:57:00Z,53.67,-113.85,-7.0,-8.0,190,3,,1.0,29.828741,1014.1,,TRUE,,,,,,,BR,OVC,200,,,,,,,LIFR,,,,,,,,,,,,SPECI,686.0
CYVO 180757Z AUTO 33010KT 5SM -SN FEW012 BKN034 OVC060 M08/M10 A2995 RMK SLP167,CYVO,2014-12-18T07:57:00Z,48.07,-77.77,-8.0,-10.0,330,10,,5.0,29.949802,1016.7,,TRUE,,,,,,,-SN,FEW,1200,BKN,3400,OVC,6000,,,MVFR,,,,,,,,,,,,SPECI,337.0
CYWE 180757Z AUTO 12008KT 9SM -SN OVC007 M16/M18 A2967 RMK SLP089,CYWE,2014-12-18T07:57:00Z,64.18,-114.08,-16.0,-18.0,120,8,,9.0,29.66929,1008.9,,TRUE,,,,,,,-SN,OVC,700,,,,,,,IFR,,,,,,,,,,,,SPECI,371.0
KSLH 180757Z AUTO 36007G14KT 10SM OVC016 M04/M06 A3017 RMK AO2 T10451063,KSLH,2014-12-18T07:57:00Z,45.65,-84.52,-4.5,-6.3,360,7,14,10.0,30.171259,,,TRUE,TRUE,,,,,,,OVC,1600,,,,,,,MVFR,,,,,,,,,,,,METAR,195.0
KDVP 180756Z AUTO 00000KT 10SM SCT070 M14/M15 A3026 RMK AO2 T11431151,KDVP,2014-12-18T07:56:00Z,43.98,-95.78,-14.3,-15.1,0,0,,10.0,30.259842,,,TRUE,TRUE,,,,,,,SCT,7000,,,,,,,VFR,,,,,,,,,,,,METAR,495.0
CYXS 180756Z AUTO 01003KT 1 3/4SM -SN SCT003 OVC012 M02/M02 A2980 RMK SLP128,CYXS,2014-12-18T07:56:00Z,53.9,-122.68,-2.0,-2.0,10,3,,1.75,29.799213,1012.8,,TRUE,,,,,,,-SN,SCT,300,OVC,1200,,,,,IFR,,,,,,,,,,,,SPECI,691.0
CWLY 180756Z AUTO VRB02KT 3/4SM BR FEW014 BKN020 OVC027 00/M00 A2993 RMK SLP143,CWLY,2014-12-18T07:56:00Z,50.22,-121.58,0.0,0.0,0,2,,0.75,29.929134,1014.3,,TRUE,,,,,,,BR,FEW,1400,BKN,2000,OVC,2700,,,LIFR,,,,,,,,,,,,SPECI,229.0
KNUW 180756Z 11006KT 10SM -RA SCT012 SCT024 BKN055 08/06 A2992 RMK AO2 SLP134 P0001 T00830056 401060056 $ ,KNUW,2014-12-18T07:56:00Z,48.35,-122.65,8.3,5.6,110,6,,10.0,29.920275,1013.4,,,TRUE,TRUE,,,,,-RA,SCT,1200,SCT,2400,BKN,5500,,,VFR,,,,10.6,5.6,0.01,,,,,,METAR,14.0
KNBC 180756Z AUTO 00000KT 10SM CLR 07/04 A3011 RMK AO2 SLP196 T00670044 ,KNBC,2014-12-18T07:56:00Z,32.47,-80.72,6.7,4.4,0,0,,10.0,30.109253,1019.6,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,12.0
KNCA 180756Z AUTO 29005KT 10SM CLR 05/04 A3009 RMK AO2 SLP192 T00500039 ,KNCA,2014-12-18T07:56:00Z,34.72,-77.45,5.0,3.9,290,5,,10.0,30.088583,1019.2,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,8.0
KSPD 180756Z AUTO 32012KT M03/M04 A3000 RMK AO1 SLP166 T10331039 ,KSPD,2014-12-18T07:56:00Z,37.28,-102.62,-3.3,-3.9,320,12,,,30.0,1016.6,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,1335.0
KGNR 180756Z AUTO 34008G16KT M01/M02 A2955 RMK AO1 SLP021 P0003 T10111022 ,KGNR,2014-12-18T07:56:00Z,45.47,-69.55,-1.1,-2.2,340,8,16,,29.551182,1002.1,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,METAR,427.0
